title,link,published,source,pub_date,doi,last_author,last_author_source,abstract,abstract_source,must_have_abstract,title_zh,abstract_zh,categories,stable_id
Dendritic cell circadian clocks shape memory CD8+ T cell differentiation,https://www.science.org/doi/abs/10.1126/sciadv.aeh3719?af=R,,AAAS: Science Advances: Table of Contents,2026-07-31 07:00:00+00:00,10.1126/sciadv.aeh3719,Ramon Arens,,"Circadian rhythms regulate diverse immune processes, yet how they influence memory CD8
                    +
                    T cell differentiation remains unclear. Here, we show that the time of day of antigen encounter shapes CD8
                    +
                    T cell fate and antiviral immunity. Immunization during the active phase promotes the generation of progenitor-like memory CD8
                    +
                    T cells and enhances T cell-mediated protection upon viral challenge. Mechanistically, dendritic cell-intrinsic circadian clocks regulate expression of the costimulatory ligand CD70, thereby directing T cell differentiation. These findings uncover a dendritic cell-mediated circadian mechanism that governs memory T cell fate decisions and suggest that aligning immune priming with circadian time may be leveraged to optimize T cell immunity.",crossref,,树突状细胞生物钟形状记忆CD8+ T细胞分化,"昼夜节律调节不同的免疫过程，以及它们如何影响记忆 CD8
                    +
                    T 细胞分化仍不清楚。在这里，我们展示了一天中抗原相遇的时间形状 CD8
                    +
                    T 细胞命运和抗病毒免疫。活跃期免疫促进类祖细胞记忆CD8的产生
                    +
                    T 细胞并增强 T 细胞介导的病毒攻击保护。从机制上讲，树突状细胞固有的生物钟调节共刺激配体 CD70 的表达，从而指导 T 细胞分化。这些发现揭示了树突状细胞介导的昼夜节律机制，该机制控制记忆 T 细胞的命运决定，并表明将免疫启动与昼夜节律时间相结合可用于优化 T 细胞免疫。",,a962bdb6fc9d3d7b
The seismic signature of lunar ice,https://www.science.org/doi/abs/10.1126/sciadv.adz7220?af=R,,AAAS: Science Advances: Table of Contents,2026-07-31 07:00:00+00:00,10.1126/sciadv.adz7220,Matthew Siegler,,"Identifying water ice deposits on the Moon is critical for enabling long-term scientific investigations and supporting future lunar infrastructure. Although multiple lines of evidence suggest that substantial quantities of poleward water exist within the lunar near-surface, the precise location, abundance, and distribution of these ice resources remain largely unconstrained. The presence of ice in the regolith alters geophysical properties that can be quantitatively characterized using geophysical techniques analogous to those employed in terrestrial subsurface resource exploration. In this study, we integrate experimental measurements of icy regolith simulants obtained through synchrotron x-ray microtomography with advanced rock physics modeling and a thermal model of the lunar near-surface. This multi-pronged approach enables us to construct realistic seismic models for theoretical ice deposits at the lunar south pole. Our methodology allows us to link variations in seismic properties to the presence and distribution of ice, providing a framework for using seismic methods to infer both the location and the abundance of subsurface ice deposits. Our results underscore that seismic exploration techniques are a robust tool for characterizing lunar water resources. The insights gained from these models not only enhance our understanding of the physical state of the lunar regolith but also pave the way for optimizing geophysical survey strategies in upcoming lunar missions.",crossref,,月球冰的地震特征,识别月球上的水冰沉积物对于进行长期科学研究和支持未来的月球基础设施至关重要。尽管多种证据表明月球近地表内存在大量的极地水，但这些冰资源的精确位置、丰度和分布在很大程度上仍然不受限制。风化层中冰的存在改变了地球物理特性，可以使用类似于陆地地下资源勘探中使用的地球物理技术来定量表征这些地球物理特性。在这项研究中，我们将通过同步加速器 X 射线显微断层扫描获得的冰冷风化层模拟物的实验测量与先进的岩石物理模型和月球近地表热模型相结合。这种多管齐下的方法使我们能够为月球南极的理论冰沉积构建现实的地震模型。我们的方法使我们能够将地震特性的变化与冰的存在和分布联系起来，为使用地震方法推断地下冰沉积物的位置和丰度提供了一个框架。我们的结果强调，地震勘探技术是表征月球水资源的强大工具。从这些模型中获得的见解不仅增强了我们对月球风化层物理状态的理解，而且为优化即将到来的月球任务中的地球物理调查策略铺平了道路。,,caf22eccf0d52bcd
Engineered heart-liver axis nanoregulators synergize autophagy activation and systemic metabolic reprogramming against atherosclerosis,https://www.science.org/doi/abs/10.1126/sciadv.aee3352?af=R,,AAAS: Science Advances: Table of Contents,2026-07-31 07:00:00+00:00,10.1126/sciadv.aee3352,Jun Wu,,"Atherosclerosis (AS) is the most important pathological basis for cardiovascular diseases worldwide. However, the current mainstream therapeutic strategies for AS only target isolated pathological links, ignoring hepatic steatosis as a related risk factor for AS, which leads to limited effectiveness in controlling the overall course of atherosclerosis. Herein, a smart nanoplatform that can synergistically regulate AS and hepatic steatosis was first reported, which featured sulfide iron nanosheets as the core, grafted with bovine myeloid antimicrobial peptide 27 (BMAP-27), skillfully coated with an erythrocyte-macrophage hybrid biomimetic membrane. First, this nanoplatform is capable of targeting atherosclerotic plaques. When combined with low-intensity focused ultrasound, the nanoplatform markedly enhanced local drug accumulation. The localized temperature rise generated by near-infrared laser irradiation acted to open TRPV1 channels, facilitating Ca
                    2+
                    entry. This increase in cytosolic Ca
                    2+
                    activated autophagy in foam cells, upregulated ABCA1-mediated cholesterol efflux, and reduced oxidized low-density lipoprotein accumulation. Meanwhile, FPRM efficiently scavenged reactive oxygen species (ROS) within atherosclerotic plaques and synergized with BMAP-27 to suppress AS-related inflammation. Intriguingly, the classic hepatic accumulation-metabolism pathway of FPRM enabled continuous ROS elimination in the liver, effectively alleviating hepatic steatosis and lowering plasma triglyceride levels, thereby achieving metabolic reprogramming and ultimately inhibiting the progression of atherosclerosis.",crossref,,工程心肝轴纳米调节剂协同自噬激活和全身代谢重编程对抗动脉粥样硬化,"动脉粥样硬化（AS）是全世界心血管疾病最重要的病理基础。然而，目前AS的主流治疗策略仅针对孤立的病理环节，忽视了肝脂肪变性作为AS的相关危险因素，导致控制动脉粥样硬化整体病程的效果有限。在此，首次报道了一种可以协同调节AS和肝脂肪变性的智能纳米平台，该平台以硫化铁纳米片为核心，接枝牛髓系抗菌肽27（BMAP-27），巧妙地涂覆红细胞-巨噬细胞混合仿生膜。首先，该纳米平台能够针对动脉粥样硬化斑块。当与低强度聚焦超声结合时，纳米平台显着增强了局部药物积累。近红外激光照射产生的局部温升打开了TRPV1通道，促进Ca
                    2+
                    条目。胞质 Ca 的增加
                    2+
                    激活泡沫细胞中的自噬，上调 ABCA1 介导的胆固醇流出，并减少氧化低密度脂蛋白的积累。同时，FPRM 有效清除动脉粥样硬化斑块内的活性氧 (ROS)，并与 BMAP-27 协同抑制 AS 相关炎症。有趣的是，FPRM经典的肝脏积聚代谢途径能够持续消除肝脏中的ROS，有效缓解肝脏脂肪变性并降低血浆甘油三酯水平，",,f407ffc425cd3334
sPLA2-reacted extracellular vesicles (SPLEVs) as a therapeutic modality for cytokine storm syndromes,https://www.science.org/doi/abs/10.1126/sciadv.adr9135?af=R,,AAAS: Science Advances: Table of Contents,2026-07-31 07:00:00+00:00,10.1126/sciadv.adr9135,Ai Kotani,,"Because cytokine storm syndromes such as sepsis, acute respiratory distress syndrome (ARDS), and coagulopathy, including those seen in COVID-19, are fatal, development of highly effective therapeutics is urgently needed. Recent evidence suggests that the hydrolysis of phospholipids in extracellular vesicles (EVs) by secreted phospholipase A
                    2
                    (sPLA
                    2
                    ) can augment the ability of EVs to modulate inflammation, allergy, and cancer. We aimed to apply this phenomenon technically using “sPLA
                    2
                    -reacted EVs (SPLEVs),” which showed high therapeutic efficacies against ARDS and other diseases. Mechanistically, SPLEVs bind to type II alveolar epithelial cells, increase membrane fluidity by reorganizing phospholipid building blocks with more polyunsaturated fatty acids through the sterol regulatory element–binding protein 1 pathway, and elicit “lipid counterstorm” by increasing tissue-protective lipid mediators. The potent therapeutic effects of SPLEVs depend partly on sPLA
                    2
                    -driven generation of lysophosphatidylglycerol. Thus, SPLEVs are expected to be an effective therapeutic tool for treatment of broad ranges of inflammatory diseases including COVID-19 and other new pandemic diseases.",crossref,,sPLA2 反应的细胞外囊泡 (SPLEV) 作为细胞因子风暴综合征的治疗方式,"由于脓毒症、急性呼吸窘迫综合征 (ARDS) 和凝血病（包括 COVID-19 中出现的细胞因子风暴综合征）等细胞因子风暴综合征是致命的，因此迫切需要开发高效的治疗方法。最近的证据表明，分泌的磷脂酶 A 可以水解细胞外囊泡 (EV) 中的磷脂
                    2
                    （PLA
                    2
                    ）可以增强 EV 调节炎症、过敏和癌症的能力。我们的目标是使用“sPLA”在技术上应用这种现象
                    2
                    -反应EV（SPLEV）”，它对ARDS和其他疾病表现出很高的治疗效果。从机制上讲，SPLEV 与 II 型肺泡上皮细胞结合，通过甾醇调节元件结合蛋白 1 途径用更多的多不饱和脂肪酸重组磷脂结构单元来增加膜流动性，并通过增加组织保护性脂质介质引发“脂质反风暴”。 SPLEV 的有效治疗效果部分取决于 sPLA
                    2
                    -驱动溶血磷脂酰甘油的产生。因此，SPLEV 有望成为治疗广泛炎症性疾病的有效治疗工具，包括 COVID-19 和其他新的流行病。",,ed9ea6cb522cdebd
Most people who agree with you won’t protest: Predictors of marches and demonstrations from six decades of research,https://www.science.org/doi/abs/10.1126/sciadv.aea8409?af=R,,AAAS: Science Advances: Table of Contents,2026-07-31 07:00:00+00:00,10.1126/sciadv.aea8409,Jennifer Earl,,"Protest and activism are endemic and potent features of many nations’ political life and critical potential counters to democratic backsliding and authoritarianism. In this review article, we meta-analytically examine six decades of research findings on what explains participation, focusing particularly on two well-studied protest forms: marches and demonstrations. Focusing on these iconic and common forms of protest participation ensures accurate research comparison, allowing us to identify sets of variables that are consistently important, others that are not consistently important, and still others that need additional research. Our focus on survey-based studies also allows us to compare research that includes both participants and nonparticipants, which is critical for methodologically sound comparisons. Our analysis of 181 survey-based studies (with more than 1800 different estimates) shows that survey research strongly supports the relevance of political interest, political ideology, membership in organizations, and digital/social media use in explaining participation, as well as demographic variables such as education, age, and living in an urban center. Our review also offers important suggestions for future survey research and micromobilization research more broadly.",crossref,,大多数同意你观点的人不会抗议：六十年研究对游行和示威的预测,抗议和激进主义是许多国家政治生活中普遍存在的有力特征，也是对抗民主倒退和威权主义的重要潜在力量。在这篇评论文章中，我们对六十年来关于解释参与的研究结果进行了荟萃分析，特别关注两种经过充分研究的抗议形式：游行和示威。关注这些标志性和常见的抗议参与形式可以确保准确的研究比较，使我们能够识别出始终重要的变量组、其他并不始终重要的变量以及需要额外研究的变量。我们对基于调查的研究的关注也使我们能够比较包括参与者和非参与者的研究，这对于方法论上合理的比较至关重要。我们对 181 项基于调查的研究（超过 1800 种不同的估计）的分析表明，调查研究强烈支持政治兴趣、政治意识形态、组织成员资格和数字/社交媒体使用在解释参与方面的相关性，以及教育、年龄和居住在城市中心等人口变量。我们的综述还为未来的调查研究和更广泛的微移动化研究提供了重要的建议。,,ade742deeebd2bb0
PPARG governs adipogenic differentiation and cell state plasticity in well-differentiated and dedifferentiated liposarcoma,https://www.science.org/doi/abs/10.1126/sciadv.aea6516?af=R,,AAAS: Science Advances: Table of Contents,2026-07-31 07:00:00+00:00,10.1126/sciadv.aea6516,Heather R. Christofk,,"Well-differentiated and dedifferentiated liposarcoma (WD/DD LPS) represent a pathological continuum, often coexisting within the same tumor. While the dedifferentiated component is clinically aggressive, marked by rapid growth and metastatic potential, the evolutionary relationship between WD and DD LPS remains unknown. To investigate this, we performed single-nucleus RNA sequencing on matched WD and DD tumor regions. Both compartments shared a predominant population of undifferentiated mesenchymal cells, but only WD regions contained cells expressing adipocytic differentiation markers and PPARG target genes. Given the central role of PPARG in coordinating lipid metabolism during adipogenesis, these findings suggest that loss of this program may underlie the poorly differentiated, proliferative phenotype of DD LPS. Functional studies confirmed that PPARG activation in DD LPS cells induces lipid accumulation, reduces proliferation, and impairs tumor growth in vivo. These support a model in which impaired adipogenic differentiation underlies DD LPS pathology and identify PPARG as a potential therapeutic target to promote differentiation and suppress tumor progression.",crossref,,PPARG 控制高分化和去分化脂肪肉瘤的成脂分化和细胞状态可塑性,高分化和去分化脂肪肉瘤（WD/DD LPS）代表病理连续体，通常共存于同一肿瘤内。虽然去分化成分在临床上具有侵袭性，以快速生长和转移潜力为标志，但 WD 和 DD LPS 之间的进化关系仍然未知。为了研究这一点，我们对匹配的 WD 和 DD 肿瘤区域进行了单核 RNA 测序。两个区室共享主要的未分化间充质细胞群，但只有 WD 区域包含表达脂肪细胞分化标记物和 PPARG 靶基因的细胞。鉴于 PPARG 在脂肪形成过程中协调脂质代谢中的核心作用，这些发现表明该程序的丧失可能是 DD LPS 分化差、增殖表型的基础。功能研究证实，DD LPS 细胞中的 PPARG 激活会诱导脂质积累、减少增殖并损害体内肿瘤生长。这些支持了一种模型，其中脂肪形成分化受损是 DD LPS 病理学的基础，并将 PPARG 确定为促进分化和抑制肿瘤进展的潜在治疗靶点。,,e5bf15820fb063fa
Social dynamics of AI adoption in parents’ educational decisions,https://www.pnas.org/doi/abs/10.1073/pnas.2533193123?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,,Proceedings of the National Academy of Sciences: Keyword search for query,2026-07-31 07:00:00+00:00,10.1073/pnas.2533193123,Christopher Roth,,"When adopting a performance-enhancing technology offers short-run relative advantages, competitive pressure can drive diffusion even if most adopters would prefer a collective ban. We study this dynamic in the context of unrestricted AI tools for teenagers’ education. In preregistered, incentive-compatible experiments with approximately 2,000 parents in the United States, Canada, and the United Kingdom, we elicit willingness to pay for a three-month premium subscription to a leading general-purpose AI platform. Demand increases steeply with the share of other teenagers using AI: Moving perceived peer take-up from 20% to 80% raises willingness to pay by more than 60%. We then test whether information about emerging evidence on potential downstream skill effects changes behavior. Risk information substantially shifts incentivized beliefs about longer-run impacts but has little effect on individual demand, yet it strongly increases support for school-level restrictions. Follow-up experiments show that peer-adoption information does not significantly shift perceived AI quality, the importance parents assign to core skills, or support for bans, pointing to social pressure rather than social learning as the primary channel. The results reveal a rat-race dynamic in which individual adoption responds to peers even as collective preferences shift toward restriction.",crossref,,家长教育决策中人工智能采用的社会动态,"当采用性能增强技术提供短期相对优势时，即使大多数采用者更愿意集体禁止，竞争压力也会推动扩散。我们在青少年教育不受限制的人工智能工具的背景下研究这种动态。在对美国、加拿大和英国约 2,000 名家长进行的预先注册、激励兼容的实验中，我们征求了为领先的通用人工智能平台支付三个月高级订阅费用的意愿。随着使用人工智能的其他青少年比例的增加，需求急剧增加：将感知到的同龄人接受率从 20% 提高到 80%，支付意愿提高了 60% 以上。然后，我们测试有关潜在下游技能影响的新证据的信息是否会改变行为。风险信息极大地改变了关于长期影响的激励信念，但对个人需求影响不大，但却大大增加了对学校层面限制的支持。后续实验表明，同伴收养信息不会显着改变感知的人工智能质量、父母对核心技能的重视程度或对禁令的支持，这表明社会压力而不是社会学习是主要渠道。结果揭示了一种激烈的竞争动态，即使集体偏好转向限制，个人的采用也会对同伴做出反应。",,ba9da421d97b5bdc
From trade-offs to translation: An interdisciplinary roadmap for neurotechnology,https://www.science.org/doi/abs/10.1126/sciadv.aee8595?af=R,,AAAS: Science Advances: Table of Contents,2026-07-31 07:00:00+00:00,10.1126/sciadv.aee8595,Amparo Güemes,,"Neurotechnologies are transforming how we measure, interpret, and modulate brain-body interactions, integrating real-time sensing, computation, and stimulation to enable precise physiological control. They hold transformative potential across clinical and nonclinical domains, from treating disorders to enhancing cognition and performance. Realizing this potential requires navigating complex, interdisciplinary challenges spanning neuroscience, materials science, engineering, signal processing, and regulatory and ethical frameworks. This Perspective presents a strategic roadmap for neurotechnology development, created by early-career researchers at the intersection of disciplines. We identify five cross-cutting trade-offs that shape the development and translation of neurotechnology: material functionality versus long-term stability, innovative development versus scalable manufacturing, spatiotemporal resolution versus real-time capability, multiscale multimodal integration versus system adaptability, and technological complexity versus clinical or commercial translatability. Rather than a domain-specific review, we focus on shared challenges and strategic opportunities that transcend disciplines, propose a unified framework for collaborative innovation and education, highlight ethical and regulatory priorities, and outline a timeline for overcoming key bottlenecks.",crossref,,从权衡到转化：神经技术的跨学科路线图,神经技术正在改变我们测量、解释和调节脑体相互作用的方式，集成实时传感、计算和刺激以实现精确的生理控制。它们在临床和非临床领域（从治疗疾病到增强认知和表现）具有变革潜力。实现这一潜力需要应对神经科学、材料科学、工程、信号处理以及监管和伦理框架等复杂的跨学科挑战。本视角提出了神经技术发展的战略路线图，由跨学科的早期职业研究人员创建。我们确定了影响神经技术开发和转化的五个交叉权衡：材料功能与长期稳定性、创新开发与可扩展制造、时空分辨率与实时能力、多尺度多模态集成与系统适应性、技术复杂性与临床或商业可转化性。我们不是针对特定领域进行审查，而是关注超越学科的共同挑战和战略机遇，提出协作创新和教育的统一框架，强调道德和监管优先事项，并概述克服关键瓶颈的时间表。,,b7976e2aea43af35
"Cryo-EM structures of apo, agonist- and antagonist-bound heteromeric kainate receptors",https://www.science.org/doi/abs/10.1126/sciadv.ady7558?af=R,,AAAS: Science Advances: Table of Contents,2026-07-31 07:00:00+00:00,10.1126/sciadv.ady7558,Nami Tajima,,"Kainate receptors (KARs) mediate excitatory synaptic transmission and regulate neurotransmitter release. In the central nervous system, KARs predominantly exist as heterotetramers comprising low-affinity (GluK1–3) and high-affinity (GluK4–5) subunits, with GluK2/GluK5 being the most abundant. To elucidate their conformational transitions, we determined the cryo–electron microscopy (cryo-EM) structures of GluK2/GluK5 KARs in the apo and distinct ligand-bound states. The apo structure revealed compact packing with extensive intersubunit interactions between the ligand-binding domains (LBDs) beyond the conserved D1-D1 upper-lobe contacts. The glutamate-bound structure exhibited enhanced packing that stabilized the desensitized conformation through increased intersubunit contacts relative to the homomeric KARs, indicating that the heterotetramers were conformationally less dynamic. To investigate subtype-specific antagonism, we engineered GluK2 and GluK5 mutants with altered affinities for the competitive antagonist UBP310. Structural analysis of these mutants revealed distinct UBP310 binding modes on the GluK2 versus the GluK5 subunits. Furthermore, we demonstrated that targeting GluK5 was more effective than targeting GluK2. Specifically, blocking GluK5 locked the receptor in a pore-occluded conformation, whereas antagonizing GluK2 retained structural flexibility above the pore. These findings provide a structural framework for understanding the distinct contributions of the GluK2 and GluK5 subunits to KAR function.",crossref,,apo、激动剂和拮抗剂结合的异聚红藻氨酸受体的冷冻电镜结构,红藻氨酸受体 (KAR) 介导兴奋性突触传递并调节神经递质释放。在中枢神经系统中，KAR 主要以异四聚体形式存在，包含低亲和力 (GluK1–3) 和高亲和力 (GluK4–5) 亚基，其中 GluK2/GluK5 最为丰富。为了阐明它们的构象转变，我们确定了 GluK2/GluK5 KAR 在 apo 和不同配体结合状态下的冷冻电子显微镜 (cryo-EM) 结构。 apo 结构揭示了除了保守的 D1-D1 上叶接触之外，配体结合域 (LBD) 之间存在紧密堆积和广泛的亚基间相互作用。谷氨酸结合结构表现出增强的堆积，通过相对于同聚 KAR 增加的亚基间接触来稳定脱敏构象，表明异四聚体在构象上动态性较低。为了研究亚型特异性拮抗作用，我们设计了 GluK2 和 GluK5 突变体，其对竞争性拮抗剂 UBP310 的亲和力发生了改变。这些突变体的结构分析揭示了 GluK2 与 GluK5 亚基上不同的 UBP310 结合模式。此外，我们证明靶向 GluK5 比靶向 GluK2 更有效。具体来说，阻断 GluK5 将受体锁定在孔闭塞构象中，而拮抗 GluK2 则保留了孔上方的结构灵活性。这些发现为理解 GluK2 和 GluK5 亚基对 KAR 功能的独特贡献提供了一个结构框架。,,b78c4996be2d2902
Adaptive intrathecal nanorobotics in mice and nonhuman primates for navigated CNS therapy,https://www.science.org/doi/abs/10.1126/sciadv.aec2918?af=R,,AAAS: Science Advances: Table of Contents,2026-07-31 07:00:00+00:00,10.1126/sciadv.aec2918,Zhiguang Wu,,"Intrathecal delivery for central nervous system (CNS) therapy lacks spatiotemporal control due to spinal canal anatomical constraints, especially at human scale. We developed an adaptive magnetic nanorobotic platform enabling multimode swarm mobility for in vivo spinal canal navigation in mice and nonhuman primates. Programmable chain-like, vortex-like, and ribbon-like swarm were accomplished, and vortex swarm was indicated as optimal strategy for adaptive intrathecal navigation. Driven by a robotic arm–generated magnetic field, the vortex swarms indicate navigation within spinal canal over centimeter distances, which magnetically enhanced accumulation at CNS target sites and prolonged their in vivo retention, thereby substantially enhancing their therapeutic efficacy compared with conventional passive intravascular delivery, with minimal side effects. Tests in nonhuman primates indicate that the nanorobotic swarm migration is from the gap between the bundles of cauda equina and then the spin cord, revealing their morphological adaption at the cauda equina interface to circumvent anatomical constraints.",crossref,,自适应鞘内纳米机器人在小鼠和非人类灵长类动物中用于导航中枢神经系统治疗,由于椎管解剖学的限制，尤其是在人体尺度上，用于中枢神经系统（CNS）治疗的鞘内递送缺乏时空控制。我们开发了一种自适应磁性纳米机器人平台，可实现多模式群体移动性，用于小鼠和非人类灵长类动物的体内椎管导航。实现了可编程链状、涡旋状和带状群，并且涡旋群被认为是自适应鞘内导航的最佳策略。在机械臂产生的磁场驱动下，涡流群在椎管内进行厘米距离的导航，从而增强了中枢神经系统目标部位的磁性积累并延长了其在体内的保留时间，从而与传统的被动血管内输送相比，大大提高了其治疗效果，且副作用最小。对非人类灵长类动物的测试表明，纳米机器人群体迁移是从马尾束和纺绳之间的间隙开始的，揭示了它们在马尾交界处的形态适应，以规避解剖学限制。,,90a3ed5643c48c36
Satellite observations reveal underestimation of CO2 emissions in Africa and the Middle East,https://www.science.org/doi/abs/10.1126/sciadv.aee1447?af=R,,AAAS: Science Advances: Table of Contents,2026-07-31 07:00:00+00:00,10.1126/sciadv.aee1447,Zhu Liu,,"Africa and the Middle East contribute significantly to global fossil fuel production, yet the associated carbon emissions from these extraction and processing activities remain insufficiently reported. The current reporting is not only delayed but also heavily reliant on energy consumption statistics that are difficult to verify. Here, we introduce an alternative approach to indirectly infer and map anthropogenic carbon dioxide (CO
                    2
                    ) emissions using the coemitted nitrogen oxides (NO
                    
                      x
                    
                    ) emissions derived from TROPOMI satellite observations. We find that current global inventories underestimate total CO
                    2
                    emissions by about 30% for Africa and the Middle East. About 35% of this underestimation is related to newly identified CO
                    2
                    emission sources, which are mainly attributable to oil and gas infrastructure. The analysis reveals that these underestimated emissions could lead to a delay of ∼5 years in achieving the 2030 Nationally Determined Contribution targets in Africa and the Middle East. This study provides an effective tool for constructing an independent carbon emission accounting framework based on satellite observations and offers a scientific database for guiding climate action.",crossref,,卫星观测揭示非洲和中东二氧化碳排放量被低估,"非洲和中东对全球化石燃料生产做出了巨大贡献，但这些开采和加工活动产生的相关碳排放仍未得到充分报告。目前的报告不仅滞后，而且严重依赖于难以核实的能源消耗统计数据。在这里，我们介绍了一种间接推断和绘制人为二氧化碳（CO
                    2
                    ）使用共同排放的氮氧化物（NO
                    
                      x
                    
                    ) 来自 TROPOMI 卫星观测的排放。我们发现当前的全球库存低估了二氧化碳总量
                    2
                    非洲和中东的排放量减少约30%。大约 35% 的低估与新发现的 CO 有关
                    2
                    排放源，主要来自石油和天然气基础设施。分析显示，这些被低估的排放量可能导致非洲和中东实现 2030 年国家自主贡献目标的时间延迟约 5 年。该研究为构建基于卫星观测的独立碳排放核算框架提供了有效工具，并为指导气候行动提供了科学数据库。",,d7736e87f6f8d5e8
Unconventional cross-step growth of monolayer MoS2 on sapphire,https://www.science.org/doi/abs/10.1126/sciadv.aee6153?af=R,,AAAS: Science Advances: Table of Contents,2026-07-31 07:00:00+00:00,10.1126/sciadv.aee6153,Guangyu Zhang,,"Regarding thin film growth, it has been widely recognized that the film typically follows the surface texture and high sharp steps potentially lead to growth termination and film discontinuity. Here, we demonstrate an abnormality that monolayer MoS
                    2
                    grown on
                    C
                    -plane sapphire is able to cross sharp steps up to ∼10 nm in height. Assisted by theoretical simulations, we unveil that the cross-step growth of monolayer MoS
                    2
                    results from the competition between its deformation energy cost and adsorption energy gain. Notably, cross-step growth leads to the formation of one-dimensional (1D) ripples on target substrates after transfer, resulting in symmetry breaking and strain engineering to trigger anisotropic properties and boost transistor performances. The room-temperature mobility (on-state current) along the ripple direction is improved by ∼67.6% (∼118.4%) compared to that perpendicular to the ripple direction. Our work showcases an exotic cross-step growth paradigm to create and manipulate 2D materials, promising the prospect for a broad portfolio of emerging electronic, photonic, and optoelectronic applications.",crossref,,蓝宝石上单层 MoS2 的非常规交叉台阶生长,"关于薄膜生长，人们广泛认识到薄膜通常遵循表面纹理，并且高尖锐台阶可能导致生长终止和薄膜不连续。在这里，我们证明了单层 MoS2 的异常现象
                    2
                    成长于
                    C
                    -平面蓝宝石能够跨越高度高达∼10 nm的尖锐台阶。在理论模拟的帮助下，我们揭示了单层MoS2的跨步生长
                    2
                    这是其变形能量成本与吸附能量增益之间竞争的结果。值得注意的是，跨步生长会导致转移后在目标基板上形成一维 (1D) 波纹，从而导致对称性破缺和应变工程，从而触发各向异性特性并提高晶体管性能。与垂直于纹波方向的室温迁移率（通态电流）相比，沿纹波方向的室温迁移率（通态电流）提高了~67.6%（~118.4%）。我们的工作展示了一种奇特的跨步生长范例来创建和操纵二维材料，为新兴电子、光子和光电应用的广泛组合带来了前景。",,c02fb58ac093e004
Color and orientation feature-attention sensors for efficient recognition,https://www.science.org/doi/abs/10.1126/sciadv.aeg8598?af=R,,AAAS: Science Advances: Table of Contents,2026-07-31 07:00:00+00:00,10.1126/sciadv.aeg8598,Yuda Zhao,,"A key challenge in visual search is that target objects defined by specific features are often mixed with distractors. This demands intelligent vision systems capable of performing selective feature acquisition instead of randomly or exhaustively scanning the environment. Here, we report a feature-attention vision sensor that integrates a semantic and geometric “dual-attention” mechanism directly at the hardware level. The sensor features reconfigurable spectral responsivity from the visible to near-infrared range, enabling tunable color attention with a spectral rejection ratio of up to 2 × 10
                    4
                    . Furthermore, we implement tunable orientation attention through an intensity-responsivity matrix. In automatic driving, the feature-attention vision sensor recognizes no stopping sign with 99.52% accuracy comparable to RGB cameras while reducing data generation by 66.7%. This approach mimics this biological “sense-only-the-useful” strategy, eliminating the need for bulky optical filters and postprocessing algorithms and offering a promising pathway for the realization of compact, resource-efficient intelligent vision systems.",crossref,,用于高效识别的颜色和方向特征注意力传感器,"视觉搜索的一个关键挑战是由特定特征定义的目标对象通常与干扰因素混合在一起。这需要智能视觉系统能够执行选择性特征采集，而不是随机或详尽地扫描环境。在这里，我们报告了一种特征注意视觉传感器，它直接在硬件级别集成了语义和几何“双重注意”机制。该传感器具有从可见光到近红外范围的可重新配置光谱响应度，可实现可调颜色注意力，光谱抑制比高达 2 × 10
                    4
                    。此外，我们通过强度响应矩阵实现可调方向注意力。在自动驾驶中，特征注意力视觉传感器识别无停车标志的准确度高达 99.52%，与 RGB 摄像头相当，同时减少了 66.7% 的数据生成。这种方法模仿了这种生物“只感知有用”的策略，消除了对笨重光学滤波器和后处理算法的需求，并为实现紧凑、资源高效的智能视觉系统提供了一条有前途的途径。",,3d25a48c7d055724
